 level 3 communications	0.05	30	84.03	0.00	0.00	350000000	Images, Reviews	0.00,0.00,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.33,0.00
nsync communications llc	0.05	30	74.84	0.00	0.00	435000	Images, Site Links, Reviews	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.25,1.00,0.75
orlando dns tools	0.05	30	66.00	0.00	0.00	3670000	Images, Reviews, Video	1.00,0.33,0.11,0.22,0.00,0.11,0.22,0.11,0.44,0.11,0.11,0.11
phase 3 tulsa	0.05	40	80.24	0.00	0.03	8620000	Reviews, Video	0.14,0.14,0.29,0.14,0.57,0.71,0.14,0.57,0.14,0.29,1.00,0.71
public looking glass servers	0.05	30	57.94	0.00	0.14	41700000		1.00,0.25,1.00,0.75,0.25,0.50,1.00,0.00,0.25,0.25,0.75,0.25
public route server ip address	0.05	50	52.28	0.00	0.00	39500000		0.40,0.20,1.00,0.00,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.40
registrant company level 3	0.05	20	86.59	0.00	0.01	48	Images, Site Links, Reviews	1.00,0.04,0.02,0.06,0.02,0.02,0.02,0.15,0.02,0.02,0.04,0.02
route server ip	0.05	50	51.74	0.00	0.00	57200000		0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00
this is only one level 3	0.05	70	81.30	0.00	0.00	4480000000	Images, Reviews	0.29,0.29,0.43,1.00,0.14,0.14,0.71,0.14,1.00,0.14,0.14,0.14
three internet down	0.05	20	78.55	0.00	0.00	1020000000	Reviews	0.33,0.33,0.00,0.33,0.00,0.00,1.00,0.00,0.67,0.00,0.00,0.00
tier 1 wikipedia	0.05	40	100.00	0.00	0.00	90900000	Images, Site Links	0.40,0.20,0.20,1.00,0.40,0.20,0.20,0.20,0.80,0.20,0.20,0.20
time warner looking glass	0.05	30	54.66	0.00	0.00	22200000	Reviews, Video	0.14,1.00,0.14,0.71,0.14,0.29,0.14,0.57,0.14,0.71,0.29,0.57
traceroute bgp	0.05	20	70.80	0.00	0.17	536000	Site Links	0.22,0.22,1.00,0.11,0.11,0.44,0.00,0.33,0.11,0.33,0.22,0.11
tw telecom albuquerque	0.05	20	83.80	0.00	0.00	1260000	Knowledge Panel, Images	0.14,1.00,0.43,0.14,0.43,0.14,0.57,0.14,0.29,0.14,0.00,0.14
tw telecom competitors	0.05	20	79.90	0.00	0.00	257000	Reviews, Featured Snippet	0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
twc ping test	0.05	40	83.16	0.00	0.00	610000	Site Links, Reviews, Video	0.14,0.29,0.29,0.14,0.14,0.00,0.14,0.14,0.00,0.29,1.00,0.14
uk looking glass	0.05	20	62.97	0.00	0.00	344000000	Reviews	0.25,0.25,0.25,0.00,0.25,0.75,0.00,0.00,0.00,1.00,0.25,0.25
upcloud looking glass	0.05	30	61.13	0.00	0.00	92	Images, Reviews, Video	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.40
us looking glass	0.05	30	62.47	0.62	0.01	744000000	Reviews	0.50,0.50,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25
verizon level 3	0.05	20	75.58	0.00	0.00	63900000	Images, Reviews	0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00
voxility looking glass	0.05	50	50.58	0.00	0.00	99	Images	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,1.00,0.20,0.20
